"","Team","Games","Win-Loss","Off Rank","Off Plays","Off Yards","Off Yards/Play","Off TDs","Off Yards per Game","Def Rank","Def Plays","Yards Allowed","Yards/Play Allowed","Off TDs Allowed","Total TDs Allowed","Yards Per Game Allowed","First Down Rank","First Down Runs","First Down Passes","First Down Penalties","First Downs","First Down Def Rank","Opp First Down Runs","Opp First Down Passes","Opp First Down Penalties","Opp First Downs","4th Down Rank","4th Attempts","4th Conversions","4th Percent","4rd Down Def Rank","Opp 4th Conversion","Opp 4th Attempt","Opponent 4th Percent","Kickoff Return Rank","Kickoffs Returned","Kickoff Return Yards","Kickoff Return Touchdowns","Avg Yard per Kickoff Return","NA","Kickoff Return Def Rank","Opp Kickoff Returns","Kickoff Touchbacks","Opponent Kickoff Return Yards","Opp Kickoff Return Touchdowns Allowed","Avg Yards per Kickoff Return Allowed","Passing Off Rank","Pass Attempts","Pass Completions","Interceptions Thrown.x","Pass Yards","Pass Yards/Attempt","Yards/Completion","Pass Touchdowns","Pass Yards Per Game","Pass Def Rank","Opp Completions Allowed","Opp Pass Attempts","Opp Pass Yds Allowed","Opp Pass TDs Allowed","Yards/Attempt Allowed","Yards/Completion Allowed","Pass Yards Per Game Allowed","Penalty Rank","Penalties","Penalty Yards","Penalty Yards Per Game","Punt Return Rank","Punt Returns","Net Punt Return Yards","Punt Return Touchdowns","Avg Yards Per Punt Return","Punt Return Def Rank","Opp Punt Returns","Opp Net Punt Return Yards","Opp Punt Return Touchdowns Allowed","Avg Yards Allowed per Punt Return","Redzone Off Rank","Redzone Attempts","Redzone Rush TD","Redzone Pass TD","Redzone Field Goals Made","Redzone Scores","Redzone Points","Redzone Def Rank","Opp Redzone Attempts","Opp Redzone Rush TD Allowed","Opp Redzone Pass Touchdowns Allowed","Opp Redzone Field Goals Made","Opp Redzone Scores","Redzone Points Allowed","Rushing Off Rank","Rush Attempts","Rush Yds","Yards/Rush","Rushing TD","Rushing Yards per Game","Rushing Def Rank","Opp Rush Attempts","Opp Rush Yards Alloweed","Yds/Rush Allowed","Opp Rush Touchdowns Allowed","Rush Yards Per Game Allowed","Sack Rank","Sacks","Sack Yards","Average Sacks per Game","Scoring Def Rank","Touchdowns Allowed","Opponent Extra Points","2 Point Conversions Allowed","Opp Deflected Extra Points","Opp Feild Goals Made","Opp Safety","Points Allowed","Avg Points per Game Allowed","Scoring Off Rank","Touchdowns","PAT","2 Point Conversions","Defensive Points","Feild Goals","Safety","Total Points","Points Per Game","Tackle for Loss Rank","Solo Tackle For Loss","Assist Tackle For Loss","Tackle for Loss Yards","Total Tackle For Loss","Tackle For Loss Per Game","3rd Down Rank","3rd Attempts","3rd Conversions","3rd Percent","3rd Down Def Rank","Opp 3rd Conversion","Opp 3rd Attempt","Opponent 3rd Percent","Time of Possession Rank","Time of Possession","Average Time of Possession per Game","Turnover Rank","Fumbles Recovered","Opponents Intercepted","Turnovers Gain","Fumbles Lost","Interceptions Thrown.y","Turnovers Lost","Turnover Margin","Avg Turnover Margin per Game"
"59","Michigan (Big Ten)","14","12-2","25","969","6,203","6.40","60","443.1","20","939","4,631","4.93","28","28","330.8","32","96","127","14","237","32","96","127","14","237","66","14","27","0.519","55","16","32","0.500","1","14","66","170","0","12.14","1","14","66","170","0","12.14","68","395","248","9","3,202","8.11","12.91","21","228.7","27","258","455","2,862","17","6.29","11.09","204.4","17","68","581","41.50","19","9","35","0","3.89","19","9","35","0","3.89","24","67","31","10","19","60","0.896","31","35","7","9","11","27","0.771","15","574","3,001","5.23","39","214.4","27","484","1,769","3.65","11","126.4","5","14","111","1.00","8","28","23","5","0","14","0","243","17.4","16","62","56","2","0","23","0","501","35.8","92","59","26","318","72","5.1","16","190","87","0.458","26","75","217","0.346","22","   439:09","   31:22","60","8","8","16","5","9","14","2","0.14"
"60","Michigan St. (Big Ten)","13","11-2","42","879","5,581","6.35","50","429.3","111","1,025","5,745","5.60","37","39","441.9","127","102","192","25","319","127","102","192","25","319","10","14","20","0.700","108","24","37","0.649","18","28","45","496","0","17.71","18","28","45","496","0","17.71","47","400","243","10","3,298","8.24","13.57","27","253.7","130","380","579","4,222","27","7.29","11.11","324.8","107","90","831","63.92","64","16","123","0","7.69","64","16","123","0","7.69","50","48","17","14","10","41","0.854","55","53","9","17","17","43","0.811","53","479","2,283","4.77","23","175.6","15","446","1,523","3.41","10","117.2","27","21","151","1.62","54","39","36","1","0","19","0","329","25.3","38","54","46","4","0","12","0","414","31.8","34","65","40","387","85","6.5","63","180","72","0.400","83","86","214","0.402","104","   368:12","   28:19","46","10","10","20","7","10","17","3","0.23"
"61","Middle Tenn. (C-USA)","13","7-6","96","919","4,709","5.12","43","362.2","59","940","4,848","5.16","40","42","372.9","69","111","134","17","262","69","111","134","17","262","90","15","33","0.455","69","14","27","0.519","38","49","10","937","0","19.12","38","49","10","937","0","19.12","63","463","296","13","3,100","6.70","10.47","28","238.5","79","287","491","3,075","23","6.26","10.71","236.5","80","86","740","56.92","93","24","227","0","9.46","93","24","227","0","9.46","83","45","12","16","9","37","0.822","88","42","13","16","7","36","0.857","100","456","1,609","3.53","15","123.8","38","449","1,773","3.95","17","136.4","55","27","206","2.08","57","42","40","2","0","12","1","334","25.7","53","51","46","2","0","10","1","388","29.8","30","68","36","354","86","6.6","125","184","58","0.315","41","69","189","0.365","57","   391:55","   30:09","7","15","17","32","8","13","21","11","0.85"
"62","Minnesota (Big Ten)","13","9-4","99","858","4,681","5.46","39","360.1","3","745","3,624","4.86","26","28","278.8","4","83","101","18","202","4","83","101","18","202","48","8","14","0.571","12","7","19","0.368","11","18","44","300","0","16.67","11","18","44","300","0","16.67","118","257","152","9","2,106","8.19","13.86","12","162.0","8","205","369","2,356","15","6.38","11.49","181.2","33","58","589","45.31","6","9","21","0","2.33","6","9","21","0","2.33","66","50","23","7","12","42","0.840","82","27","10","6","7","23","0.852","27","601","2,575","4.28","27","198.1","8","376","1,268","3.37","11","97.5","31","22","168","1.69","6","28","24","0","0","11","0","225","17.3","83","40","36","1","0","17","1","331","25.5","120","46","18","237","55","4.2","24","170","76","0.447","30","57","164","0.348","3","   460:28","   35:25","40","9","8","17","4","9","13","4","0.31"
"63","Mississippi St. (SEC)","13","7-6","29","974","5,739","5.89","47","441.5","30","807","4,482","5.55","36","41","344.8","10","84","121","14","219","10","84","121","14","219","30","10","16","0.625","18","6","15","0.400","101","20","40","460","0","23.00","101","20","40","460","0","23.00","4","704","518","9","4,918","6.99","9.49","37","378.3","71","256","401","3,013","20","7.51","11.77","231.8","86","99","760","58.46","129","15","290","2","19.33","129","15","290","2","19.33","57","58","9","27","13","49","0.845","92","37","13","9","10","32","0.865","130","270","821","3.04","10","63.2","12","406","1,469","3.62","16","113.0","94","34","210","2.62","63","41","38","1","0","17","0","337","25.9","59","48","42","2","0","14","1","378","29.1","75","49","44","300","71","5.5","17","173","79","0.457","94","74","179","0.413","9","   432:47","   33:17","80","5","11","16","9","9","18","-2","-0.15"
"64","Missouri (SEC)","13","6-7","61","918","5,369","5.85","41","413.0","105","886","5,644","6.37","57","57","434.2","122","156","116","29","301","122","156","116","29","301","45","11","19","0.579","129","18","22","0.818","10","5","67","82","0","16.40","10","5","67","82","0","16.40","66","455","301","11","3,031","6.66","10.07","19","233.2","29","196","329","2,688","25","8.17","13.71","206.8","92","83","775","59.62","69","14","112","0","8.00","69","14","112","0","8.00","18","40","15","11","10","36","0.900","127","54","26","15","10","51","0.944","49","463","2,337","5.05","22","179.8","124","557","2,956","5.31","32","227.4","20","18","125","1.38","113","57","57","0","0","13","1","440","33.8","59","44","41","2","0","23","0","378","29.1","40","71","24","337","83","6.4","22","192","86","0.448","108","72","166","0.434","48","   396:08","   30:28","46","5","11","16","2","11","13","3","0.23"
"65","Navy (AAC)","12","4-8","126","791","3,387","4.28","25","282.2","34","699","4,183","5.98","40","43","348.6","5","86","105","14","205","5","86","105","14","205","12","25","36","0.694","96","11","18","0.611","31","37","13","693","2","18.73","31","37","13","693","2","18.73","130","97","48","3","681","7.02","14.19","6","56.8","51","204","306","2,618","15","8.56","12.83","218.2","6","53","434","36.17","83","22","197","1","8.95","83","22","197","1","8.95","43","37","16","4","12","32","0.865","33","45","21","5","9","35","0.778","9","694","2,706","3.90","19","225.5","32","393","1,565","3.98","25","130.4","89","30","165","2.50","82","43","40","2","0","11","2","339","28.2","117","28","28","0","0","15","0","241","20.1","97","48","20","207","58","4.8","85","187","70","0.374","74","54","137","0.394","5","   417:34","   34:48","36","6","7","13","5","3","8","5","0.42"
"66","NC State (ACC)","12","9-3","59","815","4,973","6.10","46","414.4","21","804","3,979","4.95","28","29","331.6","7","70","108","36","214","7","70","108","36","214","104","5","12","0.417","44","9","20","0.450","123","15","49","400","1","26.67","123","15","49","400","1","26.67","19","443","288","6","3,461","7.81","12.02","35","288.4","31","217","413","2,491","19","6.03","11.48","207.6","109","89","774","64.50","59","19","138","0","7.26","59","19","138","0","7.26","14","43","9","20","10","39","0.907","70","31","7","12","7","26","0.839","99","372","1,512","4.06","11","126.0","22","391","1,488","3.81","9","124.0","57","25","175","2.08","14","29","29","0","0","11","0","236","19.7","28","51","48","1","0","13","1","397","33.1","36","60","36","267","78","6.5","69","171","68","0.398","5","53","181","0.293","25","   375:23","   31:17","29","2","15","17","5","6","11","6","0.50"
"67","Nebraska (Big Ten)","12","3-9","20","832","5,371","6.46","45","447.6","47","828","4,392","5.30","26","31","366.0","24","91","122","17","230","24","91","122","17","230","43","14","24","0.583","5","6","20","0.300","116","18","42","456","1","25.33","116","18","42","456","1","25.33","27","342","215","11","3,197","9.35","14.87","14","266.4","53","261","404","2,629","14","6.51","10.07","219.1","29","64","540","45.00","86","13","118","2","9.08","86","13","118","2","9.08","106","53","28","7","6","41","0.774","61","34","8","9","11","28","0.824","45","490","2,174","4.44","31","181.2","58","424","1,763","4.16","12","146.9","82","29","167","2.42","36","31","30","0","1","16","3","272","22.7","70","45","39","1","0","8","0","335","27.9","73","50","32","257","66","5.5","56","161","66","0.410","72","65","167","0.389","94","   346:38","   28:53","98","3","10","13","7","11","18","-5","-0.42"
"68","Nevada (Mountain West)","13","8-5","48","909","5,514","6.07","51","424.2","87","952","5,285","5.55","42","43","406.5","90","131","129","16","276","90","131","129","16","276","48","12","21","0.571","67","15","29","0.517","114","24","52","597","1","24.88","114","24","52","597","1","24.88","6","572","395","9","4,511","7.89","11.42","38","347.0","56","270","436","2,867","19","6.58","10.62","220.5","72","85","716","55.08","103","14","142","0","10.14","103","14","142","0","10.14","8","51","12","23","12","47","0.922","104","44","18","13","8","39","0.886","129","337","1,003","2.98","13","77.2","102","516","2,418","4.69","23","186.0","125","45","276","3.46","70","43","41","2","0","14","0","345","26.5","17","57","52","2","0","22","0","464","35.7","50","65","28","359","79","6.1","49","188","79","0.420","67","74","191","0.387","95","   375:23","   28:53","1","13","14","27","1","9","10","17","1.31"
"69","New Mexico (Mountain West)","12","3-9","130","724","2,819","3.89","15","234.9","44","815","4,357","5.35","36","39","363.1","22","99","102","25","226","22","99","102","25","226","121","7","21","0.333","124","11","15","0.733","78","13","24","280","0","21.54","78","13","24","280","0","21.54","127","260","143","8","1,369","5.27","9.57","10","114.1","54","197","351","2,638","19","7.52","13.39","219.8","82","83","685","57.08","90","24","221","3","9.21","90","24","221","3","9.21","130","26","4","6","6","16","0.615","111","40","16","7","13","36","0.900","108","464","1,450","3.12","5","120.8","51","464","1,719","3.70","17","143.2","102","33","239","2.75","86","39","39","0","0","22","1","341","28.4","130","17","17","0","0","9","0","146","12.2","82","49","30","264","64","5.3","129","169","43","0.254","66","68","176","0.386","65","   358:18","   29:52","108","4","9","13","12","8","20","-7","-0.58"
"70","New Mexico St. (FBS Independent)","12","2-10","90","890","4,437","4.99","30","369.8","127","797","5,862","7.36","58","64","488.5","100","112","143","24","279","100","112","143","24","279","92","9","20","0.450","77","8","15","0.533","77","20","29","430","0","21.50","77","20","29","430","0","21.50","25","519","296","10","3,236","6.24","10.93","15","269.7","128","252","369","3,492","32","9.46","13.86","291.0","94","83","722","60.17","117","18","205","0","11.39","117","18","205","0","11.39","80","40","11","11","11","33","0.825","43","55","18","17","9","44","0.800","123","371","1,197","3.23","15","99.8","112","428","2,370","5.54","26","197.5","119","40","258","3.33","128","64","60","1","0","13","0","485","40.4","105","31","28","2","0","17","1","271","22.6","69","55","26","269","68","5.7","84","191","72","0.377","88","56","137","0.409","54","   363:09","   30:16","44","9","10","19","6","10","16","3","0.25"
"71","NIU (MAC)","14","9-5","44","1,004","6,002","5.98","51","428.7","115","925","6,334","6.85","60","61","452.4","124","159","137","16","312","124","159","137","16","312","2","25","30","0.833","28","12","29","0.414","6","50","31","756","0","15.12","6","50","31","756","0","15.12","105","355","205","8","2,623","7.39","12.80","15","187.4","84","246","408","3,332","27","8.17","13.54","238.0","32","70","634","45.29","94","17","161","0","9.47","94","17","161","0","9.47","12","56","25","7","19","51","0.911","58","49","22","12","6","40","0.816","4","649","3,379","5.21","36","241.4","120","517","3,002","5.81","33","214.4","2","11","65","0.79","112","61","55","2","0","15","1","472","33.7","36","54","46","3","0","25","0","451","32.2","113","45","32","197","61","4.4","81","195","74","0.379","92","71","172","0.413","7","   468:57","   33:30","103","8","3","11","9","8","17","-6","-0.43"
"72","North Carolina (ACC)","13","6-7","10","895","6,088","6.80","56","468.3","94","889","5,434","6.11","50","52","418.0","118","134","132","31","297","118","134","132","31","297","62","11","21","0.524","88","10","17","0.588","48","16","65","320","0","20.00","48","16","65","320","0","20.00","42","382","237","9","3,324","8.70","14.03","26","255.7","84","234","385","3,094","27","8.04","13.22","238.0","118","95","900","69.23","106","19","199","1","10.47","106","19","199","1","10.47","20","49","19","9","16","44","0.898","74","51","17","11","15","43","0.843","18","513","2,764","5.39","30","212.6","97","504","2,340","4.64","23","180.0","127","49","277","3.77","105","52","46","4","0","17","0","417","32.1","19","57","53","3","0","19","0","458","35.2","75","56","30","280","71","5.5","37","164","71","0.433","99","73","175","0.417","112","   362:53","   27:55","53","5","11","16","5","9","14","2","0.15"
"73","North Texas (C-USA)","13","6-7","41","1,033","5,597","5.42","44","430.5","68","875","4,976","5.69","43","46","382.8","49","99","122","31","252","49","99","122","31","252","108","16","39","0.410","99","13","21","0.619","37","30","26","571","0","19.03","37","30","26","571","0","19.03","98","394","204","14","2,562","6.50","12.56","12","197.1","69","228","382","2,996","25","7.84","13.14","230.5","115","93","889","68.38","95","32","307","1","9.59","95","32","307","1","9.59","114","49","22","4","11","37","0.755","42","39","12","9","10","31","0.795","5","639","3,035","4.75","32","233.5","66","493","1,981","4.02","18","152.4","10","15","96","1.15","79","46","45","0","0","12","0","357","27.5","77","46","42","0","0","13","0","357","27.5","50","60","38","373","79","6.1","55","211","87","0.412","71","73","188","0.388","67","   387:39","   29:49","70","12","6","18","4","14","18","0","0.00"
"74","Northwestern (Big Ten)","12","3-9","116","817","3,859","4.72","25","321.6","101","839","5,154","6.14","42","43","429.5","61","121","123","14","258","61","121","123","14","258","69","16","32","0.500","85","7","12","0.583","12","25","8","426","0","17.04","12","25","8","426","0","17.04","111","365","208","14","2,128","5.83","10.23","13","177.3","46","241","359","2,598","11","7.24","10.78","216.5","19","57","508","42.33","84","21","189","0","9.00","84","21","189","0","9.00","128","34","10","8","5","23","0.676","62","52","22","7","14","43","0.827","82","452","1,731","3.83","12","144.2","119","480","2,556","5.33","31","213.0","72","28","209","2.33","89","43","39","0","0","17","0","348","29.0","125","26","23","1","0","6","0","199","16.6","122","37","20","164","47","3.9","96","179","64","0.358","105","74","173","0.428","103","   339:57","   28:20","106","10","6","16","8","14","22","-6","-0.50"
"75","Notre Dame (FBS Independent)","13","11-2","45","903","5,541","6.14","53","426.2","43","888","4,674","5.26","26","28","359.5","39","105","126","14","245","39","105","126","14","245","60","9","17","0.529","82","9","16","0.562","53","46","28","937","0","20.37","53","46","28","937","0","20.37","20","451","289","10","3,672","8.14","12.71","30","282.5","64","262","431","2,915","13","6.76","11.13","224.2","50","73","642","49.38","47","13","82","0","6.31","47","13","82","0","6.31","32","50","17","16","11","44","0.880","39","47","9","9","19","37","0.787","83","452","1,869","4.13","23","143.8","37","457","1,759","3.85","13","135.3","100","35","216","2.69","15","28","23","1","0","21","0","256","19.7","19","58","54","3","0","16","1","458","35.2","40","74","18","386","83","6.4","46","182","77","0.423","10","59","184","0.321","63","   389:00","   29:55","15","10","15","25","6","10","16","9","0.69"
"76","Ohio (MAC)","12","3-9","87","747","4,457","5.97","31","371.4","104","865","5,170","5.98","42","42","430.8","115","120","145","27","292","115","120","145","27","292","21","11","17","0.647","83","15","26","0.577","21","30","24","536","0","17.87","21","30","24","536","0","17.87","108","313","200","8","2,209","7.06","11.04","11","184.1","83","261","387","2,854","17","7.37","10.93","237.8","87","74","703","58.58","107","12","126","0","10.50","107","12","126","0","10.50","70","37","14","3","14","31","0.838","83","61","23","11","18","52","0.852","39","434","2,248","5.18","20","187.3","106","478","2,316","4.85","25","193.0","40","22","132","1.83","96","42","36","2","0","22","3","364","30.3","105","32","27","1","0","16","1","271","22.6","126","32","26","177","45","3.8","92","144","52","0.361","113","73","167","0.437","74","   355:58","   29:40","108","2","6","8","7","8","15","-7","-0.58"
"77","Ohio St. (Big Ten)","13","11-2","1","917","7,300","7.96","70","561.5","59","909","4,848","5.33","38","39","372.9","92","97","151","29","277","92","97","151","29","277","45","11","19","0.579","49","10","21","0.476","20","40","21","713","1","17.82","20","40","21","713","1","17.82","3","494","349","8","4,952","10.02","14.19","46","380.9","97","284","461","3,200","21","6.94","11.27","246.2","91","85","770","59.23","40","7","41","0","5.86","40","7","41","0","5.86","11","59","17","21","16","54","0.915","88","42","15","16","5","36","0.857","47","423","2,348","5.55","24","180.6","28","448","1,648","3.68","17","126.8","15","17","133","1.31","38","39","38","0","0","8","0","296","22.8","1","76","76","0","0","20","1","594","45.7","40","68","30","379","83","6.4","2","155","81","0.523","96","77","186","0.414","81","   381:57","   29:23","15","8","12","20","3","8","11","9","0.69"
"78","Oklahoma (Big 12)","13","11-2","18","851","5,863","6.89","61","451.0","76","887","5,080","5.73","41","43","390.8","88","102","152","21","275","88","102","152","21","275","13","11","16","0.688","103","24","38","0.632","111","38","46","925","2","24.34","111","38","46","925","2","24.34","33","403","279","9","3,425","8.50","12.28","32","263.5","109","293","445","3,403","26","7.65","11.61","261.8","77","87","733","56.38","65","14","108","0","7.71","65","14","108","0","7.71","1","62","22","25","13","60","0.968","80","47","14","15","11","40","0.851","38","448","2,438","5.44","29","187.5","30","442","1,677","3.79","15","129.0","92","33","183","2.54","60","43","37","2","0","12","0","335","25.8","8","63","61","1","1","21","1","508","39.1","11","61","72","384","97","7.5","44","148","63","0.426","56","67","177","0.379","78","   384:20","   29:34","7","13","11","24","4","9","13","11","0.85"
"79","Oklahoma St. (Big 12)","14","12-2","55","1,067","5,843","5.48","50","417.4","5","908","4,170","4.59","26","30","297.9","17","69","126","29","224","17","69","126","29","224","54","7","13","0.538","4","8","27","0.296","59","39","39","808","1","20.72","59","39","39","808","1","20.72","67","447","274","13","3,246","7.26","11.85","23","231.9","35","262","455","2,943","17","6.47","11.23","210.2","71","84","771","55.07","2","20","16","0","0.80","2","20","16","0","0.80","38","68","24","17","18","59","0.868","98","32","7","11","10","28","0.875","41","620","2,597","4.19","27","185.5","5","453","1,227","2.71","9","87.6","9","16","103","1.14","9","30","29","0","0","14","1","253","18.1","45","54","51","0","0","20","0","435","31.1","2","91","46","502","114","8.1","39","219","94","0.429","4","60","208","0.288","34","   432:12","   30:52","79","10","9","19","8","13","21","-2","-0.14"
"80","Old Dominion (C-USA)","13","6-7","85","914","4,850","5.31","37","373.1","69","940","4,994","5.31","40","44","384.2","90","102","146","28","276","90","102","146","28","276","100","9","21","0.429","28","12","29","0.414","82","46","20","1,014","1","22.04","82","46","20","1,014","1","22.04","83","420","245","14","2,792","6.65","11.40","15","214.8","101","280","449","3,250","28","7.24","11.61","250.0","90","88","767","59.00","53","19","127","0","6.68","53","19","127","0","6.68","66","50","18","9","15","42","0.840","80","47","11","14","15","40","0.851","72","494","2,058","4.17","22","158.3","35","491","1,744","3.55","12","134.2","88","32","218","2.46","77","43","41","1","0","18","0","355","27.3","73","42","39","1","1","20","2","359","27.6","88","51","34","269","68","5.2","51","191","80","0.419","97","82","198","0.414","85","   380:53","   29:18","116","8","7","15","9","14","23","-8","-0.62"
"81","Ole Miss (SEC)","13","10-3","6","1,017","6,402","6.29","54","492.5","97","992","5,468","5.51","39","40","420.6","128","144","143","37","324","128","144","143","37","324","26","31","49","0.633","54","17","35","0.486","64","50","21","1,050","0","21.00","64","50","21","1,050","0","21.00","22","429","286","7","3,573","8.33","12.49","21","274.8","68","269","442","2,990","14","6.76","11.12","230.0","127","118","983","75.62","27","17","76","0","4.47","27","17","76","0","4.47","115","69","29","12","11","52","0.754","52","52","21","11","10","42","0.808","12","588","2,829","4.81","33","217.6","105","550","2,478","4.51","25","190.6","94","34","218","2.62","51","40","36","2","0","13","1","321","24.7","24","56","51","1","0","15","2","438","33.7","62","58","36","284","76","5.8","78","191","73","0.382","64","72","187","0.385","118","   357:13","   27:29","19","9","11","20","5","7","12","8","0.62"
"82","Oregon (Pac-12)","14","10-4","50","946","5,931","6.27","56","423.6","72","989","5,398","5.46","46","48","385.6","126","122","163","31","316","126","122","163","31","316","92","9","20","0.450","111","24","36","0.667","101","36","38","828","0","23.00","101","36","38","828","0","23.00","76","410","259","8","3,098","7.56","11.96","20","221.3","88","296","487","3,380","22","6.94","11.42","241.4","111","103","905","64.64","113","15","166","1","11.07","113","15","166","1","11.07","63","57","30","9","9","48","0.842","95","61","23","19","11","53","0.869","24","536","2,833","5.29","36","202.4","53","502","2,018","4.02","24","144.1","36","24","128","1.71","75","48","39","4","0","13","2","378","27.0","42","57","55","1","0","13","1","440","31.4","110","54","18","225","63","4.5","4","180","92","0.511","118","91","198","0.460","68","   416:42","   29:46","25","5","17","22","6","8","14","8","0.57"
"83","Oregon St. (Pac-12)","13","7-6","42","868","5,581","6.43","52","429.3","73","883","5,036","5.70","41","41","387.4","106","118","142","26","286","106","118","142","26","286","82","11","23","0.478","16","8","21","0.381","100","15","52","344","0","22.93","100","15","52","344","0","22.93","80","347","218","12","2,820","8.13","12.94","19","216.9","92","267","431","3,166","22","7.35","11.86","243.5","104","89","820","63.08","72","7","57","0","8.14","72","7","57","0","8.14","63","57","28","12","8","48","0.842","57","54","18","14","12","44","0.815","19","521","2,761","5.30","33","212.4","52","452","1,870","4.14","19","143.8","7","14","113","1.08","60","41","39","1","0","16","0","335","25.8","44","53","48","2","0","12","0","406","31.2","95","44","40","212","64","4.9","7","162","79","0.488","127","93","185","0.503","45","   396:24","   30:30","64","4","15","19","6","12","18","1","0.08"
"84","Penn St. (Big Ten)","13","7-6","82","923","4,893","5.30","36","376.4","38","965","4,583","4.75","23","24","352.5","79","123","121","24","268","79","123","121","24","268","87","12","26","0.462","101","15","24","0.625","5","2","59","28","0","14.00","5","2","59","28","0","14.00","26","486","291","10","3,491","7.18","12.00","25","268.5","23","262","440","2,598","11","5.90","9.92","199.8","40","70","599","46.08","9","14","39","0","2.79","9","14","39","0","2.79","97","42","11","9","13","33","0.786","3","48","12","6","14","32","0.667","118","437","1,402","3.21","11","107.8","67","525","1,985","3.78","12","152.7","94","34","217","2.62","6","24","21","3","0","18","0","225","17.3","90","39","36","2","0","17","0","325","25.0","45","69","26","331","82","6.3","75","197","76","0.386","38","76","212","0.358","110","   363:23","   27:57","31","7","14","21","5","10","15","6","0.46"
"85","Pittsburgh (ACC)","14","11-3","8","1,069","6,812","6.37","70","486.6","39","977","4,950","5.07","41","43","353.6","100","80","162","37","279","100","80","162","37","279","14","17","25","0.680","2","7","26","0.269","90","45","44","1,002","1","22.27","90","45","44","1,002","1","22.27","8","544","367","8","4,723","8.68","12.87","44","337.4","115","302","506","3,700","26","7.31","12.25","264.3","108","94","895","63.93","34","11","58","0","5.27","34","11","58","0","5.27","28","69","24","25","12","61","0.884","29","47","14","14","8","36","0.766","77","525","2,089","3.98","26","149.2","6","471","1,250","2.65","15","89.3","87","34","257","2.43","42","43","39","1","0","10","1","331","23.6","3","76","71","0","0","17","1","580","41.4","5","87","50","547","112","8.0","29","204","90","0.441","15","68","203","0.335","27","   437:00","   31:13","25","7","16","23","7","8","15","8","0.57"
"86","Purdue (Big Ten)","13","9-4","33","967","5,715","5.91","42","439.6","48","857","4,766","5.56","36","36","366.6","31","108","110","18","236","31","108","110","18","236","69","8","16","0.500","11","8","22","0.364","45","34","33","676","0","19.88","45","34","33","676","0","19.88","5","575","407","12","4,619","8.03","11.35","35","355.3","33","222","374","2,713","18","7.25","12.22","208.7","22","58","557","42.85","48","13","83","0","6.38","48","13","83","0","6.38","48","57","6","21","22","49","0.860","23","45","14","10","10","34","0.756","127","392","1,095","2.79","7","84.2","77","483","2,053","4.25","18","157.9","64","29","207","2.23","34","36","34","1","0","13","0","291","22.4","59","44","40","1","0","24","0","378","29.1","57","64","26","295","77","5.9","33","188","82","0.436","44","66","179","0.369","16","   415:23","   31:57","83","4","13","17","8","12","20","-3","-0.23"
"87","Rice (C-USA)","12","4-8","97","818","4,344","5.31","35","362.0","108","782","5,226","6.68","53","57","435.5","69","112","127","23","262","69","112","127","23","262","57","16","30","0.533","111","12","18","0.667","85","28","9","620","1","22.14","85","28","9","620","1","22.14","87","344","205","15","2,540","7.38","12.39","16","211.7","123","239","378","3,285","23","8.69","13.74","273.8","105","89","763","63.58","62","28","212","0","7.57","62","28","212","0","7.57","120","38","15","9","4","28","0.737","90","58","25","16","9","50","0.862","74","474","1,804","3.81","19","150.3","83","404","1,941","4.80","30","161.8","72","28","180","2.33","120","57","55","0","0","11","2","434","36.2","107","35","33","0","0","5","0","258","21.5","97","39","38","270","58","4.8","100","175","62","0.354","73","55","141","0.390","10","   399:22","   33:17","87","5","14","19","7","15","22","-3","-0.25"
"88","Rutgers (Big Ten)","13","5-8","120","894","4,042","4.52","29","310.9","81","865","5,154","5.96","41","43","396.5","48","112","116","23","251","48","112","116","23","251","118","14","39","0.359","31","8","19","0.421","17","19","22","334","0","17.58","17","19","22","334","0","17.58","114","394","231","10","2,239","5.68","9.69","9","172.2","75","206","368","3,054","25","8.30","14.83","234.9","14","65","533","41.00","12","14","41","0","2.93","12","14","41","0","2.93","110","46","20","4","11","35","0.761","35","41","12","11","9","32","0.780","89","500","1,803","3.61","20","138.7","81","497","2,100","4.23","16","161.5","31","22","134","1.69","56","43","40","1","0","11","0","333","25.6","120","31","30","0","1","12","1","256","19.7","67","58","32","299","74","5.7","120","193","62","0.321","19","60","177","0.339","55","   393:13","   30:15","40","11","7","18","4","10","14","4","0.31"
"89","San Diego St. (Mountain West)","14","12-2","105","933","4,791","5.14","42","342.2","12","960","4,541","4.73","32","34","324.4","40","71","141","34","246","40","71","141","34","246","41","13","22","0.591","55","12","24","0.500","127","11","62","299","0","27.18","127","11","62","299","0","27.18","115","361","209","5","2,351","6.51","11.25","16","167.9","93","310","547","3,417","25","6.25","11.02","244.1","117","103","961","68.64","118","22","251","1","11.41","118","22","251","1","11.41","35","49","22","10","11","43","0.878","97","39","6","19","9","34","0.872","54","572","2,440","4.27","26","174.3","3","413","1,124","2.72","7","80.3","36","24","169","1.71","17","34","30","1","0","13","1","277","19.8","78","47","45","1","0","18","0","383","27.4","48","66","40","345","86","6.1","120","193","62","0.321","8","70","220","0.318","15","   449:14","   32:05","14","6","17","23","8","5","13","10","0.71"
